MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220426,High Plains,14.33,10.31,28.34,35.36,11.23,0.44,4/26/2022,5/2/2022,2
20220426,West,5.08,3.65,16.33,42.15,28.95,3.84,4/26/2022,5/2/2022,2
20220419,High Plains,13.67,8.71,29.67,35.98,11.53,0.44,4/19/2022,4/25/2022,2
20220419,West,4.89,4.86,15.28,41.37,30.71,2.89,4/19/2022,4/25/2022,2
20220412,High Plains,13.43,8.49,32.89,36.15,8.6,0.44,4/12/2022,4/18/2022,2
20220412,West,4.85,5.15,14.88,41.68,30.74,2.71,4/12/2022,4/18/2022,2
20220405,High Plains,13.31,8.57,33.38,37.15,7.25,0.33,4/5/2022,4/11/2022,2
20220405,West,4.75,5.29,15.29,43.61,28.51,2.55,4/5/2022,4/11/2022,2
20220329,High Plains,13.17,8.96,32.64,37.23,7.68,0.33,3/29/2022,4/4/2022,2
20220329,West,5.57,5.5,19.01,40.24,27.17,2.5,3/29/2022,4/4/2022,2
20220322,High Plains,13.29,10.91,36.35,31.8,7.35,0.29,3/22/2022,3/28/2022,2
20220322,West,5.48,5.54,19.18,41.14,26.16,2.5,3/22/2022,3/28/2022,2
20220315,High Plains,9.69,10.65,33.47,38.2,7.69,0.29,3/15/2022,3/21/2022,2
20220315,West,5.15,4.75,18.28,43.6,25.83,2.39,3/15/2022,3/21/2022,2
20220308,High Plains,9.64,11.26,34.27,39.07,5.46,0.29,3/8/2022,3/14/2022,2
20220308,West,5.15,4.67,19.43,46.86,20.97,2.91,3/8/2022,3/14/2022,2
20220301,High Plains,9.47,11.27,35.48,37.67,6.09,0.02,3/1/2022,3/7/2022,2
20220301,West,3.95,5.63,20.28,46.46,20.88,2.8,3/1/2022,3/7/2022,2
20220222,High Plains,7.88,13.76,39.8,32.67,5.89,0,2/22/2022,2/28/2022,2
20220222,West,3.87,7.63,24.22,43.09,18.25,2.95,2/22/2022,2/28/2022,2
20220215,High Plains,7.88,14.17,40.23,32.16,5.57,0,2/15/2022,2/21/2022,2
20220215,West,3.89,7.67,24.25,44.19,17.02,2.98,2/15/2022,2/21/2022,2
20220208,High Plains,8.6,18.53,36.65,30.8,5.42,0,2/8/2022,2/14/2022,2
20220208,West,3.89,8.18,23.85,44.78,16.06,3.23,2/8/2022,2/14/2022,2
20220201,High Plains,9.05,24.84,29.88,29.25,6.99,0,2/1/2022,2/7/2022,2
20220201,West,3.94,8.13,23.84,44.43,16.44,3.23,2/1/2022,2/7/2022,2
20220125,High Plains,9.71,24.41,29.6,28.91,7.37,0,1/25/2022,1/31/2022,2
20220125,West,3.82,8.11,23.83,44.42,16.67,3.16,1/25/2022,1/31/2022,2
20220118,High Plains,11.74,22.92,29.76,28.79,6.79,0,1/18/2022,1/24/2022,2
20220118,West,3.82,8.15,23.89,45.24,16,2.91,1/18/2022,1/24/2022,2
20220111,High Plains,11.87,23.85,30.1,25.61,8.58,0,1/11/2022,1/17/2022,2
20220111,West,3.81,8.16,23.99,43.61,17.3,3.14,1/11/2022,1/17/2022,2
20220104,High Plains,12.84,22.35,30.25,25.93,8.63,0,1/4/2022,1/10/2022,2
20220104,West,3.68,7.03,24.39,41.05,19.91,3.94,1/4/2022,1/10/2022,2
20211228,High Plains,12.4,22.41,30.22,25.95,9.01,0,12/28/2021,1/3/2022,2
20211228,West,3.43,5.63,19.94,39.95,26.23,4.82,12/28/2021,1/3/2022,2
20211221,High Plains,12.65,24.04,26.06,28.16,9.09,0,12/21/2021,12/27/2021,2
20211221,West,2.52,4.14,17.64,33.14,33.25,9.32,12/21/2021,12/27/2021,2
20211214,High Plains,15.64,22.76,26.57,26.09,8.93,0,12/14/2021,12/20/2021,2
20211214,West,2.32,3.21,18.81,32.13,31.99,11.55,12/14/2021,12/20/2021,2
20211207,High Plains,17.32,17.52,28.47,27.76,8.92,0,12/7/2021,12/13/2021,2
20211207,West,2.32,3.04,17.51,33.05,31.47,12.6,12/7/2021,12/13/2021,2
20211130,High Plains,17.32,18.74,30.47,25.53,7.93,0,11/30/2021,12/6/2021,2
20211130,West,2.11,3.9,18.07,31.85,30.57,13.5,11/30/2021,12/6/2021,2
20211123,High Plains,18.05,20.78,30.29,25.27,5.61,0,11/23/2021,11/29/2021,2
20211123,West,2.11,5.43,18.93,30.89,29.14,13.5,11/23/2021,11/29/2021,2
20211116,High Plains,20.43,21.18,28.46,25.01,4.92,0,11/16/2021,11/22/2021,2
20211116,West,2.33,6.78,17.61,30.73,29.03,13.52,11/16/2021,11/22/2021,2
20211109,High Plains,21.08,19.93,29.78,23.75,5.46,0,11/9/2021,11/15/2021,2
20211109,West,2.46,6.94,16.58,30.29,29.87,13.84,11/9/2021,11/15/2021,2
20211102,High Plains,21.08,19.93,30.39,23,5.6,0,11/2/2021,11/8/2021,2
20211102,West,2.46,7.13,15.78,30.24,29.82,14.56,11/2/2021,11/8/2021,2
20211026,High Plains,16.96,19.93,30.03,25.88,6.79,0.4,10/26/2021,11/1/2021,2
20211026,West,2.16,7.11,16.12,27.5,31.8,15.31,10/26/2021,11/1/2021,2
20211019,High Plains,16.82,21.1,29.27,24.13,8.27,0.4,10/19/2021,10/25/2021,2
20211019,West,2.44,7.47,15.48,23.21,34.46,16.94,10/19/2021,10/25/2021,2
20211012,High Plains,15.46,19.63,24.33,23.55,16.57,0.46,10/12/2021,10/18/2021,2
20211012,West,2.57,7.34,14.69,23.87,33.76,17.77,10/12/2021,10/18/2021,2
