year,month,month_name,storage
1988,6,Jun,22902906.666666668
1988,7,Jul,23144132.258064516
1988,8,Aug,22655764.51612903
1988,9,Sep,22281913.333333332
1988,10,Oct,21965187.580645163
1988,11,Nov,21719158.266666666
1988,12,Dec,21408727.93548387
1989,1,Jan,20999783.83870968
1989,2,Feb,20571040.17857143
1989,3,Mar,20476057.870967742
1989,4,Apr,20531079.766666666
1989,5,May,20796759.774193548
1989,6,Jun,21008925.8
1989,7,Jul,20608918.580645163
1989,8,Aug,20077361.0
1989,9,Sep,19484083.466666665
1989,10,Oct,19053815.51612903
1989,11,Nov,18799468.2
1989,12,Dec,18487026.19354839
1990,1,Jan,18086498.64516129
1990,2,Feb,17786931.285714287
1990,3,Mar,17468682.64516129
1990,4,Apr,17240246.466666665
1990,5,May,17090960.225806452
1990,6,Jun,17239167.633333333
1990,7,Jul,17100359.903225806
1990,8,Aug,16482315.387096774
1990,9,Sep,15894819.783333333
1990,10,Oct,15696075.925806452
1990,11,Nov,15642861.41
1990,12,Dec,15411824.15483871
1991,1,Jan,15058578.329032257
1991,2,Feb,14829083.510714287
1991,3,Mar,14690858.577419354
1991,4,Apr,14559593.6
1991,5,May,14719848.458064515
1991,6,Jun,15579820.123333333
1991,7,Jul,15687666.035483873
1991,8,Aug,15255301.774193548
1991,9,Sep,14852201.473333333
1991,10,Oct,14608917.425806452
1991,11,Nov,14507300.993333334
1991,12,Dec,14350211.451612903
1992,1,Jan,14078092.08064516
1992,2,Feb,13821418.76551724
1992,3,Mar,13717981.293548388
1992,4,Apr,13766344.873333333
1992,5,May,14333613.787096774
1992,6,Jun,15217544.15
1992,7,Jul,15099805.59032258
1992,8,Aug,14639979.3
1992,9,Sep,14247028.206666667
1992,10,Oct,13968836.283870969
1992,11,Nov,13808542.253333334
1992,12,Dec,13516025.516129032
1993,1,Jan,13218892.470967744
1993,2,Feb,13031460.210714284
1993,3,Mar,13131644.025806451
1993,4,Apr,13764473.556666667
1993,5,May,15206636.5
1993,6,Jun,18292334.716666665
1993,7,Jul,19586664.777419355
1993,8,Aug,19266730.870967742
1993,9,Sep,18950436.7
1993,10,Oct,18799512.683870964
1993,11,Nov,18729680.703333333
1993,12,Dec,18551099.38064516
1994,1,Jan,18262461.629032258
1994,2,Feb,17971737.667857144
1994,3,Mar,17834239.77096774
1994,4,Apr,17715783.8
1994,5,May,18068104.903225806
1994,6,Jun,19087588.959999997
1994,7,Jul,19008231.08387097
1994,8,Aug,18383206.506451614
1994,9,Sep,17914524.476666667
1994,10,Oct,17715578.216129035
1994,11,Nov,17597009.816666666
1994,12,Dec,17355003.55483871
1995,1,Jan,17021738.332258064
1995,2,Feb,16714598.50357143
1995,3,Mar,16587177.935483871
1995,4,Apr,16679764.95
1995,5,May,17382960.932258062
1995,6,Jun,19742921.433333334
1995,7,Jul,22597865.803225804
1995,8,Aug,23173076.912903223
1995,9,Sep,22644285.31
1995,10,Oct,22102626.68709677
1995,11,Nov,21793450.426666666
1995,12,Dec,21542010.951612905
1996,1,Jan,21172930.29032258
1996,2,Feb,20805776.04137931
1996,3,Mar,20577798.74516129
1996,4,Apr,20149916.60666667
1996,5,May,20682043.641935483
1996,6,Jun,21899677.41
1996,7,Jul,22387869.203225806
1996,8,Aug,21873236.38064516
1996,9,Sep,21347545.17
1996,10,Oct,21058432.864516128
1996,11,Nov,20934961.353333335
1996,12,Dec,20693601.677419353
1997,1,Jan,20247611.803225804
1997,2,Feb,19700848.535714287
1997,3,Mar,18994473.44516129
1997,4,Apr,18963502.69
1997,5,May,19890474.587096777
1997,6,Jun,22461825.123333335
1997,7,Jul,23457825.66451613
1997,8,Aug,23103701.383870967
1997,9,Sep,22791406.813333333
1997,10,Oct,22712209.299999997
1997,11,Nov,22311983.833333332
1997,12,Dec,21861307.95483871
1998,1,Jan,21349561.06129032
1998,2,Feb,20865782.87857143
1998,3,Mar,20390197.441935487
1998,4,Apr,20472501.45
1998,5,May,21699654.048387095
1998,6,Jun,23331829.15666667
1998,7,Jul,23748775.683870967
1998,8,Aug,23232499.051612902
1998,9,Sep,22645409.923333336
1998,10,Oct,22239579.470967744
1998,11,Nov,22150041.706666667
1998,12,Dec,21885200.59032258
1999,1,Jan,21486749.616129033
1999,2,Feb,21211633.307142857
1999,3,Mar,20986606.912903223
1999,4,Apr,20885134.93
1999,5,May,21142902.383870967
1999,6,Jun,22510525.48
1999,7,Jul,23432404.799999997
1999,8,Aug,23325610.183870967
1999,9,Sep,23182861.413333334
1999,10,Oct,22771370.93548387
1999,11,Nov,22251138.326666664
1999,12,Dec,21686026.261290323
2000,1,Jan,21275432.222580645
2000,2,Feb,21036583.079310343
2000,3,Mar,20857432.341935486
2000,4,Apr,20744754.110000003
2000,5,May,20789751.37419355
2000,6,Jun,21579918.90666667
2000,7,Jul,21676900.522580646
2000,8,Aug,21421045.85483871
2000,9,Sep,21069115.646666665
2000,10,Oct,20819399.58387097
2000,11,Nov,20529294.416666668
2000,12,Dec,20059383.283870965
2001,1,Jan,19569576.522580646
2001,2,Feb,19159599.15
2001,3,Mar,18934828.996774193
2001,4,Apr,18830738.366666667
2001,5,May,19194578.02580645
2001,6,Jun,20143443.923333336
2001,7,Jul,20027595.89677419
2001,8,Aug,19536431.61935484
2001,9,Sep,19217495.413333334
2001,10,Oct,18952462.870967742
2001,11,Nov,18656821.293333333
2001,12,Dec,18241936.077419356
2002,1,Jan,17750897.16129032
2002,2,Feb,17340777.8
2002,3,Mar,17045513.870967742
2002,4,Apr,16818848.43
2002,5,May,16586459.519354839
2002,6,Jun,16357008.95
2002,7,Jul,15714087.383870967
2002,8,Aug,14941147.66451613
2002,9,Sep,14531404.06
2002,10,Oct,14364946.938709678
2002,11,Nov,14189794.906666666
2002,12,Dec,13938782.425806452
2003,1,Jan,13511669.44516129
2003,2,Feb,13034966.789285716
2003,3,Mar,12624405.790322581
2003,4,Apr,12323895.993333334
2003,5,May,12342885.316129033
2003,6,Jun,13280952.129999999
2003,7,Jul,13101336.232258065
2003,8,Aug,12462884.235483872
2003,9,Sep,12146818.54
2003,10,Oct,12030989.709677419
2003,11,Nov,11869083.636666667
2003,12,Dec,11638430.777419355
2004,1,Jan,11222683.003225807
2004,2,Feb,10740677.25862069
2004,3,Mar,10329492.54516129
2004,4,Apr,10200617.916666666
2004,5,May,10347759.758064516
2004,6,Jun,10551818.783333333
2004,7,Jul,10205158.291935485
2004,8,Aug,9589085.434193548
2004,9,Sep,9193606.748666666
2004,10,Oct,9163889.129677419
2004,11,Nov,9082297.410333334
2004,12,Dec,8766763.40483871
2005,1,Jan,8585194.855806451
2005,2,Feb,8350103.156428571
2005,3,Mar,8128684.689677419
2005,4,Apr,8137314.397666667
2005,5,May,9248041.332903225
2005,6,Jun,11572758.110000001
2005,7,Jul,12502950.63548387
2005,8,Aug,12229534.751612904
2005,9,Sep,11961436.943333333
2005,10,Oct,11971852.274193548
2005,11,Nov,12004256.120000001
2005,12,Dec,11763785.512903225
2006,1,Jan,11396909.15483871
2006,2,Feb,10997421.99642857
2006,3,Mar,10750234.703225806
2006,4,Apr,10815830.686666667
2006,5,May,11588226.574193548
2006,6,Jun,12666558.95
2006,7,Jul,12608816.683870967
2006,8,Aug,12227356.77096774
2006,9,Sep,11949868.336666668
2006,10,Oct,12345309.16451613
2006,11,Nov,12476197.25
2006,12,Dec,12229523.290322581
2007,1,Jan,11885801.677419355
2007,2,Feb,11619964.267857144
2007,3,Mar,11546218.235483872
2007,4,Apr,11726449.076666666
2007,5,May,12204382.480645161
2007,6,Jun,12825379.606666666
2007,7,Jul,12677244.974193549
2007,8,Aug,12289210.54516129
2007,9,Sep,11967825.996666666
